city,country,population,EU,coastline,latitude,longitude,temperature
Tallinn,Estonia,1.31,yes,yes,59.43,24.73,4.82
Tampere,Finland,5.52,yes,yes,61.5,23.75,3.59
Tarsus,Turkey,79.62,no,yes,36.92,34.88,11.21
Tartu,Estonia,1.31,yes,yes,58.38,26.71,4.36
Tekirdag,Turkey,79.62,no,yes,40.99,27.51,13.02
Toulouse,France,64.67,yes,yes,43.62,1.45,10.25
Trabzon,Turkey,79.62,no,yes,40.98,39.72,10.28
Trieste,Italy,59.8,yes,yes,45.65,13.8,11.21
Trikala,Greece,10.92,yes,yes,39.56,21.77,16
Trondheim,Norway,5.27,no,yes,63.42,10.42,4.53
Turku,Finland,5.52,yes,yes,60.45,22.25,4.72
Uppsala,Sweden,9.85,yes,yes,59.86,17.64,4.17
Valencia,Spain,46.06,yes,yes,39.49,-0.4,16.02
Vienna,Austria,8.57,yes,no,48.2,16.37,7.86
Vigo,Spain,46.06,yes,yes,42.22,-8.73,12.85
Vilnius,Lithuania,2.85,yes,yes,54.68,25.32,5.38
Warsaw,Poland,38.59,yes,yes,52.25,21,7.2
Wroclaw,Poland,38.59,yes,yes,51.11,17.03,7.17
Yevpatoriya,Ukraine,44.62,no,yes,45.2,33.36,10.02
Zaragoza,Spain,46.06,yes,yes,41.65,-0.89,14.17
Zhytomyr,Ukraine,44.62,no,yes,50.25,28.66,6.67
Zonguldak,Turkey,79.62,no,yes,41.43,31.78,10.64
Zurich,Switzerland,8.38,no,no,47.38,8.56,6.68
